,sentences,raw_sentences
0,send private message   gain detail account   ,"Can you please send us a private message , so that I can gain further details about your account ? ."
1,send private message send link access account ,Please send me a private message so that I can send you the link to access your account .
2,contact customer support   tell shortcode enable account   year try ,"whenever I contact customer support , they tell me I have shortcode enabled on my account , but I have never in the 4 years I 've tried https://t.co/0G98RtNxPK ."
3,like email copy spectrum update training   ,Would you like me to email you a copy of one since Spectrum is not updating your training ? .
4,correct way ocs account takeover email consent form need local office ,The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office .
5,information pertain account assumption correct ,The information pertaining to the account assumption is correct .
6,need local outlet wit   ,This does need to be done at a local outlet wit ... https://t.co/P7XCmTzPQj .
7,actually break link send incorrect information ,actually that 's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI .
8,hello   apology frustration inconvenience ,"Hello , My apologies for any frustrations or inconvenience ."
9,d happy look ,I ’d be happy to look into this for you ?
10,apologize inconvenience ,I apologize for the inconvenience .
11,glad assist ,I will be glad to assist you .
12,dm acct   phone   ,Can you DM me your Name and acct # or phone # ?
13,,How ?
14,phone number email   ,"I have my phone number and email , that 's it ."
15,equipment service ,How did I get equipment and service ?
16,literally try pay find   ,I 'm literally trying to pay and nobody can find me ? .
17,use order number locate account need secure chat ,We can use the order number to locate the account but will need to do so in our secure one on one chat .
18,follow dm   ,Please follow and DM us . .
19,md ,MD .
20,send wrong address ,And this was sent to the wrong address https://t.co/dMQ1WZXJOk .
21,find account number ,Nobody can find my account or number .
22,walk store ,I walked out of a store with this .
23,explain find acct device serial   ,I 've explained that they can find my acct via my devices serial # ...
24,app refer   ,Which app are you referring too ? .
25,fix app wo open ,fix your app it wo n't even open .
26,guac ,Guac on !
27,happy great experience ,I 'm happy it was such a great experience .
28,happy halloween ,Happy Halloween !
29,old trick treat look forward   boorito get early    ,"Since I 'm too old to trick or treat I now look forward to $ 3 booritos at 👻 I got mine earlier , did you ? ."
30,thank resolve issue quickly   ,Thank you for resolving my issue so quickly ! !
31,y all good   fanforlife ,Y’all are the best ☺ ️ # fanforlife .
32,frustrated order dinner saturday app ,So frustrated with 😡 Ordered dinner on Saturday using their app .
33,order wrong charge credit card twice ,Order was wrong AND they charged my credit card twice .
34,btw give   burritos dress halloween ,Btw giving out $ 3 burritos if you dress up for Halloween 🎃
35,chipotle sure   select one ,"Call your Chipotle to make sure , they ’re doing it select ones ."
36,incredibly concern ,That 's incredibly concerning .
37,provide detail investigate   ,Please provide more details so we can investigate : https://t.co/Ax7W1Dx3Y9 .
38,consider walk llama onesie happy halloween ,Considering walking to in my llama onesie alone happy Halloween 😭 .
39,glad know download   feel free contact concern ,"Glad to know that is downloading , please feel free to contact us if you have further concerns .."
40,glad help ,Glad to help .
41,share detail issue community forum investigation   ,Please share the details of this issue in our Community forum for further investigation : https://t.co/F3J4l2vJHb .
42,let team know well   joel ,"We 've let our team know we can do better , Joel ."
43,thank share   ,Thanks for sharing :) .
44,help ,Help is here .
45,assist recover account recommend contact answer desk team   ,To assist you in recovering your account we recommend that you contact our Answer desk team : https://t.co/7zSM1QXPMD ..
46,problem   let know come issue question future ,"No problem , let us know if you come across any other issues or questions in the future ."
47,happy help ,We are happy to help .
48,yes pre order game console store ,Yes you can pre order the game on the console store .
49,information contact console store ,For more information please contact your console store .
50,good afternoon ,Good afternoon
51,william   unfortunately app long support ,"William , unfortunately this app is no longer supported ."
52,sincere apology ,Sincerest apologies .
53,yous go update cod zombie ios io ,Are yous going to update COD Zombies on IOS for IOS 11 ..
54,half gig update world war   ,Why was there a half gig update for world at war ? .
55,hey ,Hey there !
56,check link information regard ,You can check out this link for more information in regards to this https://t.co/OZIlONCLtF .
57,gamestop code pre order payment need redeem ,Did gamestop give you a code with your pre order down payment that you needed to redeem ?
58,redeem account ,Have you redeemed that on your https://t.co/4YBn633EOk account ?
59,tho say beta code   pre order bonus link ,"Even tho it says beta code , your pre order bonus are linked ."
60,gamertag   platform playing pull account information ,Can you please give me your gamertag / platform you 're playing on so I can pull up your account information .
61,dm adobe product   amp   purchase detail ask expert follow ,Would you please DM the Adobe Product & amp ; your purchase details that you have so that we can ask our experts to follow up .
62,,https://t.co/iuwZCjz4Or .
63,hi jason   try reset preference photoshop   amp   let know help issue ,"Hi Jason , could you please try resetting the preferences of Photoshop & amp ; let us know if it helps with the issue https://t.co/j3Dj2HDknM    ."
