,sentences,raw_sentences
0,correct way ocs account takeover email consent form need local office ,The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office .
1,friend internet need play videogame skill diminish moment internetz ,My friend is without internet we need to play videogames together please our skills diminish every moment without internetz .
2,,How ?
3,phone number email   ,"I have my phone number and email , that 's it ."
4,equipment service ,How did I get equipment and service ?
5,literally try pay find   ,I 'm literally trying to pay and nobody can find me ? .
6,thank resolve issue quickly   ,Thank you for resolving my issue so quickly ! !
7,y all good   fanforlife ,Y’all are the best ☺ ️ # fanforlife .
8,frustrated order dinner saturday app ,So frustrated with 😡 Ordered dinner on Saturday using their app .
9,order wrong charge credit card twice ,Order was wrong AND they charged my credit card twice .
10,pretty explain issue quote tweet   drag image canvas long center snap ,Pretty much explained my issue in the quoted tweet ... dragging an image onto a canvas no longer center snaps it ....
11,break ,no its still broken .
12,delete probably get rid membership return work properly ,i deleted it and will probably be getting rid of my membership and return when its working properly .
13,thank ,thanks .
14,change son xbox live account hotmail account   currently link hotmail account ,"can I change me sons Xbox live account to his Hotmail account , currently linked to my Hotmail account ."
15,solve phone support ,Solved this via phone support .
16,go preston train station ,Something going on at Preston train station ?
17,lose booking   chua loreen lee flight z     taipei manila     email    ,lost my booking # chua loreen lee flight z2 129.128 12/22 01/8 taipei manila . _ _ email _ _ .
18,lose booking number ,Lost your booking number ?
19,worry   drop passenger   flight detail email ,"No worries , just drop me the passenger 's name , flight details and email ."
20,trace email u time   ,I 'll trace it and email u in no time :) .
21,work pm tomorrow ,I have to be at work at 2 pm tomorrow .
22,new phone overnighte ,My new phone is being overnighted but it may not be there until then .
23,ride ,I have no other ride ..
24,book flight delta amex card ,i booked my flight using delta amex card .
25,check   amp   charge baggage ,Checking in now & amp ; was being charged for baggage .
26,buy echo wo nt recognize single account household ,Bought an Echo Show and it wo n’t recognize a single account in our household .
27,wtf   guy   ,"WTF , guys ? ."
28,start return ,Already started the return .
29,up get doorstep tomorrow ,UPS gets it from my doorstep tomorrow .
30,order ,Order 111 5014070 4118645 .
31,delivery pay today   do nt arrivewhy noti pay itwhere itim unhappyrefund delivery charge ,"delivery I paid for today , didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge ."
32,pull   amazon delivery bush   amzl people nt walk extra ft door ,Just pulled another # Amazon delivery out of the bushes since the # amzl people ca n’t walk the extra 2 ft to my door .
33,tired   try reset setting   restart phone   ,So tired of this .. Tried resetting my settings .. restarting my phone .. all that .
34,iphone plus yes ,I️ have an iPhone 7 Plus and yes I️ do .
35,hello   internet ,"Hello , internet ."
36,explain symbol keep appear phone try type letter ,Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️ ?
37,,Also https://t.co/QKwvTLtiN7 .
38,iphone s plus recent update ,I have the iPhone 6s Plus and just did the most recent update ..
39,thank update phone slow barely work ,Thank you I updated my phone and now it is even slower and barely works .
40,thank ruin phone ,Thank you for ruining my phone. 😤 .
41,iphone plus ,iPhone 7 Plus 😊 .
42,hey ,Hey !
43,time download update freaking phone give hell ,Last time I downloaded an update my freaking phone gave me hell .
44,recommendation   ,Any recommendations ? .
45,phone number   ,Why is there no phone number ? ?
46,literally strand wait automate reply ridiculous ,I 'm literally stranded and now I have to wait for an automated reply this is ridiculous .
47,literally strand support phone number wait message smh   check daily flight offer option certainly adjust trip ,Literally stranded because of and because there is no support phone number I have to wait from a message from Smh 🤦 🏾‍ ♂ ️. I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip ..
48,early flight offer try rebook   cool ,"why was n't earlier flight offered when I tried to rebook , not cool at all ."
49,happen look moniter deplane ,Just happened to look at moniter after deplaning ..
50,technical issue ben fix ,It seems this technical issue still has n't Ben fixed .
51,look ,   Can you look into it again ?
52,  hi thank ,🙆 🏼‍ ♂ ️. Hi and thanks .
53,think figure ,Think I just figured this out .
54,run mex mid flight ,Would it be you ’re not running the MEX MID flight
55,need check aeromexico   ,so I need to check in via AeroMexico ? .
56,premium   amp   shuffle turn song play order repeat light nt repeat ,Premium & amp ; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but does n’t repeat .
57,iphone ,iphone 7 +
58,recent update spotify ,and i have the most recent update for spotify .
59,hi ,Hi !
60,flight man lhr bwi nov cancel ,My flight from MAN LHR BWI for Nov. 3 was canceled .
